,precision,recall,f1-score,support
0,0.8470588235294118,0.75,0.7955801104972375,96.0
1,0.6065573770491803,0.74,0.6666666666666666,50.0
accuracy,0.7465753424657534,0.7465753424657534,0.7465753424657534,0.7465753424657534
macro avg,0.7268081002892961,0.745,0.7311233885819521,146.0
weighted avg,0.7646953144608394,0.7465753424657534,0.7514316708292338,146.0
